date,group,users,conversion_rate
2017-01-02,control,2859,0.12556838055264077
2017-01-02,treatment,2853,0.11987381703470032
2017-01-03,control,6590,0.11380880121396054
2017-01-03,treatment,6618,0.11378059836808703
2017-01-04,control,6578,0.12192155670416539
2017-01-04,treatment,6541,0.11664883045405901
2017-01-05,control,6427,0.12323012291893574
2017-01-05,treatment,6505,0.11498847040737895
2017-01-06,control,6606,0.11534968210717529
2017-01-06,treatment,6747,0.1234622795316437
2017-01-07,control,6604,0.12098728043609934
2017-01-07,treatment,6609,0.11620517476168861
2017-01-08,control,6687,0.11888739344997756
2017-01-08,treatment,6700,0.12074626865671642
2017-01-09,control,6628,0.1196439348219674
2017-01-09,treatment,6615,0.1180650037792895
2017-01-10,control,6654,0.11286444244063722
2017-01-10,treatment,6696,0.12634408602150538
2017-01-11,control,6688,0.11886961722488039
2017-01-11,treatment,6673,0.11509066386932414
2017-01-12,control,6522,0.12204845139527752
2017-01-12,treatment,6637,0.12234443272562905
2017-01-13,control,6552,0.11691086691086691
2017-01-13,treatment,6508,0.11124769514443761
2017-01-14,control,6548,0.12675626145387905
2017-01-14,treatment,6599,0.11926049401424459
2017-01-15,control,6714,0.1204944891271969
2017-01-15,treatment,6549,0.1134524354863338
2017-01-16,control,6591,0.12183280230617509
2017-01-16,treatment,6545,0.11917494270435447
2017-01-17,control,6617,0.12286534683391265
2017-01-17,treatment,6538,0.1272560416029367
2017-01-18,control,6482,0.1248071582844801
2017-01-18,treatment,6603,0.12479176132061184
2017-01-19,control,6578,0.11994527211918517
2017-01-19,treatment,6552,0.11721611721611722
2017-01-20,control,6534,0.11524334251606978
2017-01-20,treatment,6679,0.11768228776762989
2017-01-21,control,6749,0.12594458438287154
2017-01-21,treatment,6560,0.11570121951219513
2017-01-22,control,6596,0.11916312916919346
2017-01-22,treatment,6669,0.11800869695606538
2017-01-23,control,6716,0.12567004169148302
2017-01-23,treatment,6633,0.12106135986733002
2017-01-24,control,3754,0.11800745871070857
2017-01-24,treatment,3681,0.12170605813637599
